Item Title,List Name,List Description,Group,Date Added,Date Edited,Item Type,Notes,Pinned,
All the Shah's Men,Abandoned / Disliked,,Completed Lists,11/22/22,11/6/22,Book,Abandoned for now,FALSE,
Cadillac Desert,Abandoned / Disliked,,Completed Lists,11/6/22,6/8/22,Book,,FALSE,
Don Vito,Abandoned / Disliked,,Completed Lists,11/22/22,11/22/22,Book,,FALSE,
Eon,Abandoned / Disliked,,Completed Lists,11/6/22,11/6/22,Book,Abandoned,FALSE,
Leadership Is Language,Abandoned / Disliked,,Completed Lists,11/6/22,11/6/22,Book,Disappointing,FALSE,
On China,Abandoned / Disliked,,Completed Lists,11/22/22,11/6/22,Book,Abandoned for now,FALSE,
Peopleware,Abandoned / Disliked,,Completed Lists,11/6/22,11/6/22,Book,Can’t finish it,FALSE,
Santorini,Abandoned / Disliked,,Completed Lists,12/27/22,12/27/22,Book,,FALSE,
Ski walkers at the pentagon,Abandoned / Disliked,,Completed Lists,12/18/22,12/18/22,Book,,FALSE,
The Becoming: A Post-Apocalyptic Zombie Thriller,Abandoned / Disliked,,Completed Lists,11/6/22,11/6/22,Book,Abandoned,FALSE,
The Fifth Season,Abandoned / Disliked,,Completed Lists,11/6/22,6/4/22,Book,,FALSE,
The Violin Conspiracy,Abandoned / Disliked,,Completed Lists,11/6/22,11/6/22,Book,Abandoned,FALSE,
Man's Search for Meaning,Books: Liked,,Completed Lists,12/17/22,12/18/22,Book,First part was great. Psychology part was boring and didn’t finish it.,FALSE,
Practical Object-Oriented Design in Ruby: An Agile Primer,Books: Liked,,Completed Lists,11/6/22,5/27/22,Book,,FALSE,
Sum vii,Books: Liked,,Completed Lists,11/6/22,11/6/22,Book,Read,FALSE,
The Fourth Turning,Books: Liked,,Completed Lists,11/22/22,11/22/22,Book,,FALSE,
The Message of the Sphinx,Books: Liked,,Completed Lists,11/22/22,11/6/22,Book,Read and loved! Need another,FALSE,
The great mental models,Books: Liked,,Completed Lists,11/6/22,11/6/22,Book,Read, need volume 2 next!,FALSE
To Sleep in a Sea of Stars,Books: Liked,,Completed Lists,11/6/22,11/6/22,Book,Read,FALSE,
Zen in the Art of Archery,Books: Liked,,Completed Lists,11/6/22,4/30/22,Book,,FALSE,
Ancient Apocalypse,Movies & Shows: Liked,,Completed Lists,12/2/22,12/2/22,TV Show,,FALSE,
Obi-Wan Kenobi,Movies & Shows: Liked,,Completed Lists,11/22/22,11/6/22,TV Show,Great!,FALSE,
Ready Player One,Movies & Shows: Liked,,Completed Lists,11/22/22,11/6/22,Movie,Great!,FALSE,
The Book of Boba Fett,Movies & Shows: Liked,,Completed Lists,11/22/22,11/6/22,TV Show,Great!,FALSE,
1491 (Second Edition),The Pile,,No Group,12/23/22,12/23/22,Book,,FALSE,
Cleopatra,The Pile,,No Group,1/23/23,1/23/23,Book,,FALSE,
Conversations with René Girard,The Pile,,No Group,12/26/22,12/26/22,Book,,FALSE,
Exploring Requirements 1: Quality Before Design,The Pile,,No Group,2/6/23,2/6/23,Book,,FALSE,
Fairy Tale,The Pile,,No Group,1/15/23,1/15/23,Book,,FALSE,
Four Thousand Weeks,The Pile,,No Group,2/2/23,2/2/23,Book,,FALSE,
Generating Business Referrals Without Asking,The Pile,,No Group,1/30/23,1/30/23,Book,,FALSE,
I Never Thought of It That Way,The Pile,,No Group,12/26/22,12/26/22,Book,,FALSE,
Joker,The Pile,,No Group,12/27/22,12/27/22,Movie,,FALSE,
