Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
59807573,On Quality: An Inquiry into Excellence: Unpublished and Selected Writings,Robert M. Pirsig,"Pirsig, Robert M.",Wendy K. Pirsig,"=""""","=""""",5,3.60,Mariner Books,Kindle Edition,192,2022,,2023/08/15,2022/04/26,,,read,,,,1,0
27426044,"Nyxia (The Nyxia Triad, #1)",Scott Reintgen,"Reintgen, Scott",,"=""""","=""""",5,4.13,Crown Books for Young Readers,Kindle Edition,384,2017,2017,2023/06/27,2023/06/27,,,read,,,,1,0
58744261,Echogenesis,Gary Gibson,"Gibson, Gary",,"=""""","=""""",5,4.10,,Kindle Edition,259,2021,,2023/06/14,2023/06/14,,,read,,,,1,0
11722970,Service-Oriented Design with Ruby and Rails (Addison-Wesley Professional Ruby Series),Paul Dix,"Dix, Paul",,"=""6612739118""","=""9786612739118""",0,3.65,,Kindle Edition,448,,2010,,2016/08/14,currently-reading,currently-reading (#5),currently-reading,,,,1,0
59783101,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,"=""""","=""""",0,4.34,Harper Business,Kindle Edition,414,2022,,,2022/06/22,currently-reading,currently-reading (#4),currently-reading,,,,1,0
59771411,The Violin Conspiracy,Brendan Slocumb,"Slocumb, Brendan",,"=""""","=""""",0,4.14,Anchor,Kindle Edition,334,2022,2022,,2022/06/20,currently-reading,currently-reading (#3),currently-reading,,,,1,0
13507787,Practical Object Oriented Design in Ruby,Sandi Metz,"Metz, Sandi",,"=""0321721330""","=""9780321721334""",5,4.54,Addison-Wesley Professional,Paperback,247,2012,2012,2022/05/26,2021/10/13,,,read,,,,1,0
46347,All the Shah's Men: An American Coup and the Roots of Middle East Terror,Stephen Kinzer,"Kinzer, Stephen",,"=""0471678783""","=""9780471678786""",0,4.28,"John Wiley & Sons (Hoboken, NJ)",Paperback,272,2004,2003,2022/05/26,2016/12/30,"2017, 2018, abandoned","2017 (#31), 2018 (#3), abandoned (#34)",read,,,,2,0
55530234,Not All Fairy Tales Have Happy Endings: The rise and fall of Sierra On-Line,Ken    Williams,"Williams, Ken",,"=""""","=""""",3,4.04,Lulu,Kindle Edition,410,2020,,2022/05/26,2022/04/20,abandoned,abandoned (#33),read,,,,1,0
56090120,The Becoming (The Becoming #1),Jessica Meigs,"Meigs, Jessica",,"=""""","=""""",3,3.77,,Kindle Edition,439,2020,2011,2022/05/26,2022/05/15,abandoned,abandoned (#32),read,,,,1,1
36510122,"Eon (The Way, #1)",Greg Bear,"Bear, Greg",,"=""""","=""""",0,3.88,Open Road Media Sci-Fi & Fantasy,Kindle Edition,481,2014,1985,,2022/05/26,currently-reading,currently-reading (#2),currently-reading,,,,1,0
58786858,The High Sierra: A Love Story,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""031659301X""","=""9780316593014""",0,4.29,"Little, Brown and Company",Hardcover,560,2022,2022,,2022/05/17,to-read,to-read (#472),to-read,,,,0,0
58103132,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""1999449010""","=""""",5,4.08,Latticework Publishing Inc.,Kindle Edition,197,2019,2018,2022/05/15,2022/04/24,,,read,,,,1,0
2723,The Years of Rice and Salt,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0553580078""","=""9780553580075""",0,3.75,Bantam Books,Mass Market Paperback,763,2003,2002,,2022/04/23,to-read,to-read (#471),to-read,,,,0,0
